fdcId,identifier,identifierType,foodType,foodDescription,value,foodWeight,valueUnit,foodMeasure,measureValue
2737863,90642205512235,UPC/GTIN,Branded,"Frozen Whole Turkey, 14-16 lbs.",23.0,112,GRM,"100 g",25.8
2737885,90079621002468,UPC/GTIN,Branded,"Wright Brand Fully Cooked Smoked Carving Ham With Natural Juices, 2 Count",0.000,84,GRM,"100 g",0.000
2737875,90075971121606,UPC/GTIN,Branded,"Sara Lee Uncooked Foil Wrapped Skin-on Turkey Breast",0.000,112,GRM,"100 g",0.000
2737865,90642205509600,UPC/GTIN,Branded,"Hickory Smoked Bone-In Turkey Breast",31.0,84,GRM,"100 g",26.0
2737946,90075620616644,UPC/GTIN,Branded,"Tyson All Natural Fresh Boneless Skinless Chicken Breast Tenderloins, 1.25 lb.",0.000,112,GRM,"100 g",0.000
2737884,90079621001072,UPC/GTIN,Branded,"Wright Brand Healthy Trim Reduced Sodium Smoked Ham, 2 Count",0.000,84,GRM,"100 g",0.000
2737932,90075620699463,UPC/GTIN,Branded,"Boneless, Skinless Chicken Breasts with Rib Meat",0.000,112,GRM,"100 g",0.000
2737886,90642205500232,UPC/GTIN,Branded,"99% Fat Free Turkey Breast Roast",23.0,112,GRM,"100 g",25.8
2737890,90642205501536,UPC/GTIN,Branded,"Turkey Necks, Bone-in, 6 Count Tray, Fresh, 2.0 - 2.5 lbs.",46.0,112,GRM,"100 g",51.5
2737883,90079621000778,UPC/GTIN,Branded,"Wright Brand Timeless Recipe Fully Cooked Boneless Smoked Ham, 2 Count",0.000,84,GRM,"100 g",0.000
2737882,90078465104499,UPC/GTIN,Branded,"Russer Deli Smoked Virginia Brand Ham",0.000,56,GRM,"100 g",0.000
2737869,90075620708721,UPC/GTIN,Branded,"Food Lion Bone-In Fresh Chicken Drumsticks",0.000,112,GRM,"100 g",0.000
2737868,90075620708448,UPC/GTIN,Branded,"Food Lion Uncooked Bone-In Chicken Wing Drummettes",0.000,112,GRM,"100 g",0.000
2737876,90075971121989,UPC/GTIN,Branded,"Hillshire Farm Fully Cooked Turkey Thigh Pot Roast",0.000,84,GRM,"100 g",0.000
2737878,90078465103416,UPC/GTIN,Branded,"Russer Beef Bologna",20.0,56,GRM,"100 g",11.2
2737840,90642205560359,UPC/GTIN,Branded,"Antibiotic-Free, Frozen Young Turkey, 10-16 lbs.",23.0,112,GRM,"100 g",25.8
2737871,90075620994155,UPC/GTIN,Branded,"Fresh, Thin Sliced, Boneless Skinless Chicken Breasts",0.000,112,GRM,"100 g",0.000
2737877,90075971432177,UPC/GTIN,Branded,"Sara Lee Raw Chefs Single Lobe Skin-on Turkey Breast",0.000,112,GRM,"100 g",0.000
2737889,90642205501482,UPC/GTIN,Branded,"Turkey Drumsticks, 3 Pieces Tray, Fresh, 1.5-3 lbs.",23.0,112,GRM,"100 g",25.8
2737866,90642205501512,UPC/GTIN,Branded,"Turkey Thighs, Bone-in, 3 Count Tray, Fresh, 1.5 - 3.0 lb.",23.0,112,GRM,"100 g",25.8
2737887,90642205500249,UPC/GTIN,Branded,"99% Fat Free Turkey Breast Cutlets 4 Count Tray, Fresh, 1.5 - 2.5 lbs.",23.0,112,GRM,"100 g",25.8
2737880,90078465103812,UPC/GTIN,Branded,"Wunderbar German Brand Bologna, Made With Chicken And Pork, Beef Added",61.0,56,GRM,"100 g",34.2
2737888,90642205501451,UPC/GTIN,Branded,"Frozen Bone-In Turkey Breast, with gravy",0.000,112,GRM,"100 g",0.000
2737881,90078465104451,UPC/GTIN,Branded,"Russer Honey Cured Ham Water Added",11.0,56,GRM,"100 g",6.16
2737867,90075620706451,UPC/GTIN,Branded,"Food Lion Bone-In, Skin-on Chicken Thighs",0.000,112,GRM,"100 g",0.000
2737947,90075620615944,UPC/GTIN,Branded,"Tyson All Natural* Fresh Chicken Gizzards & Hearts, 1.3 lb. (Avg Weight)",0.000,112,GRM,"100 g",0.000
2738010,90044500053626,UPC/GTIN,Branded,"Hillshire Farm Sous Vide Large Cut Pork Belly",6.00,84,GRM,"100 g",5.04
2738049,90023700031214,UPC/GTIN,Branded,"Tyson Pride Uncooked Marinated 8 Piece Chicken Cuts",0.000,112,GRM,"100 g",0.000
2738027,90031400012327,UPC/GTIN,Branded,"Smoked Pit Ham, Water Added, Boneless, Fully Cooked",0.000,56,GRM,"100 g",0.000
2738020,90044500974099,UPC/GTIN,Branded,"Hillshire Farm Bone-In Pre-Priced Ham",0.000,84,GRM,"100 g",0.000
2738009,90044500043054,UPC/GTIN,Branded,"Hillshire Farm Choice Pot Roast with Au Jus and Onions, Fully Cooked",14.0,140,GRM,"100 g",19.6
2738054,90023700513680,UPC/GTIN,Branded,"Tyson Pride 100% all natural* Vacuum Sealed Marinated Whole Chicken, WOG",0.000,112,GRM,"100 g",0.000
2738008,90031400711596,UPC/GTIN,Branded,"Wilson Smoked Virginia Brand Ham, Water Added, 2/12.5 lb. avg wt.",18.0,56,GRM,"100 g",10.1
2738011,90044500121660,UPC/GTIN,Branded,"Hillshire Farm USDA Select Beef Ribeye Rare Fully Cooked",6.00,84,GRM,"100 g",5.04
2738013,90044500173157,UPC/GTIN,Branded,"Hillshire Farm Fully Cooked USDA Choice Beef Ribeye Rare",0.000,84,GRM,"100 g",0.000
2738018,90044500487162,UPC/GTIN,Branded,"Hillshire Farm Fully Cooked Boneless Black Oak Pit Ham with Natural Juices, 2 Count",12.0,84,GRM,"100 g",10.1
2738052,90023700043958,UPC/GTIN,Branded,"Tyson Uncooked Rotisserie Deli Chicken Savory Flavored",0.000,112,GRM,"100 g",0.000
2738030,90023700516957,UPC/GTIN,Branded,"Tyson Pride Uncooked Marinated 8 Piece Chicken Cuts",0.000,112,GRM,"100 g",0.000
2738016,90044500324641,UPC/GTIN,Branded,"Hillshire Farm Bone-In Brown Sugar Cured Spiral Sliced Half Ham with Natural Juices (4 Count)",0.000,84,GRM,"100 g",0.000
2738006,90031400556173,UPC/GTIN,Branded,"Wilson Fully Cooked Beef Bologna",20.0,56,GRM,"100 g",11.2
2738019,90044500974006,UPC/GTIN,Branded,"Hillshire Farm Bone-In Pre-Priced Half Ham with Natural Juices",0.000,84,GRM,"100 g",0.000
2738022,90053400220243,UPC/GTIN,Branded,"Bryan Deli Classics Bologna Deli Sliced Lunch Meat",36.0,56,GRM,"100 g",20.2
2738023,90072940747560,UPC/GTIN,Branded,"Red Gold Tomato Paste, 1.5oz Packet - Case of 200",52.0,33,GRM,"100 g",17.2
2738050,90023700032198,UPC/GTIN,Branded,"Tyson Uncooked Breaded 8 Piece Cut Chicken",0.000,112,GRM,"100 g",0.000
2738021,90044500974204,UPC/GTIN,Branded,"Hillshire Farm Pre-Priced Spiral Sliced Brown Sugar Half Ham",0.000,84,GRM,"100 g",0.000
2738017,90044500329059,UPC/GTIN,Branded,"Hillshire Farm Bone-In Honey Cured Spiral Sliced Half Ham with Natural Juices (4 Count)",0.000,84,GRM,"100 g",0.000
2738024,90075620247428,UPC/GTIN,Branded,"Boneless, Skinless Chicken Breasts with Rib Meat",12.0,84,GRM,"100 g",10.1
2738053,90023700303786,UPC/GTIN,Branded,"Tyson Uncooked Whole Cornish Hens, 24 head, 2/20 Lb. (avg wt.) ",0.000,112,GRM,"100 g",0.000
2738014,90044500314079,UPC/GTIN,Branded,"Hillshire Farm Fully Cooked Bone-In Smoked Ham (2 Count)",0.000,84,GRM,"100 g",0.000
2738004,90031400077739,UPC/GTIN,Branded,"Uncooked, Hot & Spicy, Breaded 8 Piece Cut Chicken",18.0,112,GRM,"100 g",20.2
