fdcId,identifier,identifierType,foodType,foodDescription,value,foodWeight,valueUnit,foodMeasure,measureValue
2727574,100379,NDB #,Foundation,"Beef, top sirloin steak, raw",3.70,100,g,"100 g",3.70
2727571,100376,NDB #,Foundation,"Bison, ground, raw",6.83,100,g,"100 g",6.83
2727579,100386,NDB #,Foundation,"Squash, spaghetti, peeled, seeded, raw",16.6,100,g,"100 g",16.6
2727570,17224,NDB #,Foundation,"Lamb, ground, raw",6.58,100,g,"100 g",6.58
2727581,9042,NDB #,Foundation,"Blackberries, raw",15.4,100,g,"100 g",15.4
2727569,100375,NDB #,Foundation,"Chicken, breast, meat and skin, raw",6.90,100,g,"100 g",6.90
2727583,100389,NDB #,Foundation,"Cabbage, napa, leaf, destemmed, raw",35.0,100,g,"100 g",35.0
2727580,100387,NDB #,Foundation,"Rutabaga, peeled, raw",42.0,100,g,"100 g",42.0
2727566,100372,NDB #,Foundation,"Chicken, drumstick, meat and skin, raw",8.28,100,g,"100 g",8.28
2727573,100378,NDB #,Foundation,"Beef, tenderloin steak, raw",4.09,100,g,"100 g",4.09
2727582,100388,NDB #,Foundation,"Tomatillos, dehusked, raw",7.14,100,g,"100 g",7.14
2727589,100395,NDB #,Foundation,"Juice, tart cherry, from concentrate, shelf-stable",16.2,100,g,"100 g",16.2
2727567,100373,NDB #,Foundation,"Chicken, thigh, meat and skin, raw",5.73,100,g,"100 g",5.73
2727585,100391,NDB #,Foundation,"Green onion, (scallion), bulb and greens, root removed, raw",59.4,100,g,"100 g",59.4
2727575,100380,NDB #,Foundation,"Pork, chop, center cut, raw",4.12,100,g,"100 g",4.12
2727572,100377,NDB #,Foundation,"Beef, short loin (NY strip steak), raw",5.04,100,g,"100 g",5.04
2727586,100392,NDB #,Foundation,"Shallots, bulb, peeled, root removed, raw",26.1,100,g,"100 g",26.1
2727568,100374,NDB #,Foundation,"Chicken, wing, meat and skin, raw",13.6,100,g,"100 g",13.6
2727578,100385,NDB #,Foundation,"Squash, pie pumpkin, peeled, seeded, raw",16.4,100,g,"100 g",16.4
2727576,100381,NDB #,Foundation,"Pork, belly, with skin, raw",4.20,100,g,"100 g",4.20
2727584,100390,NDB #,Foundation,"Leeks, bulb and greens, root removed, raw",51.4,100,g,"100 g",51.4
2727587,100393,NDB #,Foundation,"Juice, prune, shelf-stable",16.2,100,g,"100 g",16.2
2727577,100382,NDB #,Foundation,"Pawpaw, peeled, seeded, raw",9.91,100,g,"100 g",9.91
2727588,100394,NDB #,Foundation,"Juice, pomegranate, from concentrate, shelf-stable",11.0,100,g,"100 g",11.0
2710815,9021,NDB #,Foundation,"Apricot, with skin, raw",11.6,100,g,"100 g",11.6
2710820,20012,NDB #,Foundation,"Bulgur, dry, raw",34.1,100,g,"100 g",34.1
2710826,100350,NDB #,Foundation,"Corn, sweet, yellow and white kernels,  fresh, raw",0.656,100,g,"100 g",0.656
2710830,100356,NDB #,Foundation,"Khorasan, grain, dry, raw",24.1,100,g,"100 g",24.1
2710835,100361,NDB #,Foundation,"Corn flour, masa harina, white or yellow, dry, raw",112,100,g,"100 g",112
2710832,100358,NDB #,Foundation,"Mandarin, seedless, peeled, raw",44.0,100,g,"100 g",44.0
2710837,100363,NDB #,Foundation,"Plum, black, with skin, raw",4.03,100,g,"100 g",4.03
2710823,100347,NDB #,Foundation,"Asparagus, green, raw",20.6,100,g,"100 g",20.6
2710828,100352,NDB #,Foundation,"Farro, pearled, dry, raw",25.9,100,g,"100 g",25.9
2710822,100346,NDB #,Foundation,"Arugula, baby, raw",204,100,g,"100 g",204
2710836,9415,NDB #,Foundation,"Pear, Anjou, green, with skin, raw",9.99,100,g,"100 g",9.99
2710829,100353,NDB #,Foundation,"Fonio, grain, dry, raw",11.6,100,g,"100 g",11.6
2710819,12006,NDB #,Foundation,"Chia seeds, dry, raw",595,100,g,"100 g",595
2710839,100365,NDB #,Foundation,"Sorghum bran, white, unenriched, dry, raw",61.7,100,g,"100 g",61.7
2710817,9277,NDB #,Foundation,"Plantains, ripe, raw",3.82,100,g,"100 g",3.82
2710816,9184,NDB #,Foundation,"Melons, honeydew, raw",6.58,100,g,"100 g",6.58
2710833,100359,NDB #,Foundation,"Mango, Tommy Atkins, peeled, raw",12.4,100,g,"100 g",12.4
2710840,100366,NDB #,Foundation,"Sorghum flour, white, pearled, unenriched, dry, raw",7.89,100,g,"100 g",7.89
2710841,100367,NDB #,Foundation,"Sorghum grain, white, pearled, unenriched, dry, raw",7.45,100,g,"100 g",7.45
2710818,9542,NDB #,Foundation,"Plantains, underripe, raw",4.83,100,g,"100 g",4.83
2710821,20088,NDB #,Foundation,"Wild rice, dry, raw",7.97,100,g,"100 g",7.97
2710834,100360,NDB #,Foundation,"Mango, Ataulfo, peeled, raw",10.0,100,g,"100 g",10.0
2710831,100357,NDB #,Foundation,"Kiwifruit (kiwi), green, peeled, raw",24.4,100,g,"100 g",24.4
2710843,100371,NDB #,Foundation,"Plantains, overripe, raw",3.90,100,g,"100 g",3.90
2710842,100368,NDB #,Foundation,"Sorghum, whole grain, white, dry, raw",14.9,100,g,"100 g",14.9
2710838,100364,NDB #,Foundation,"Rice, red, unenriched, dry, raw",9.22,100,g,"100 g",9.22
2710827,100351,NDB #,Foundation,"Einkorn, grain, dry, raw",41.4,100,g,"100 g",41.4
2710825,100349,NDB #,Foundation,"Rice, black, unenriched, raw",14.4,100,g,"100 g",14.4
2710824,100348,NDB #,Foundation,"Avocado, Hass, peeled, raw",14.5,100,g,"100 g",14.5
2685579,100342,NDB #,Foundation,"Tomato, sauce, canned, with salt added",17.1,100,g,"100 g",17.1
2685575,11098,NDB #,Foundation,"Brussels sprouts, raw",38.6,100,g,"100 g",38.6
2685570,11485,NDB #,Foundation,"Squash, winter, butternut, raw",21.7,100,g,"100 g",21.7
2685580,11546,NDB #,Foundation,"Tomato, paste, canned, without salt added",36.8,100,g,"100 g",36.8
2685581,11693,NDB #,Foundation,"Tomatoes, crushed, canned",19.2,100,g,"100 g",19.2
2685571,11482,NDB #,Foundation,"Squash, winter, acorn, raw",24.8,100,g,"100 g",24.8
2685568,100331,NDB #,Foundation,"Squash, summer, green, zucchini, includes skin, raw",20.8,100,g,"100 g",20.8
2685582,100345,NDB #,Foundation,"Tomato, puree, canned",17.6,100,g,"100 g",17.6
2685574,11161,NDB #,Foundation,"Collards, raw",276,100,g,"100 g",276
2685572,11116,NDB #,Foundation,"Cabbage, bok choy, raw",61.9,100,g,"100 g",61.9
2685573,11135,NDB #,Foundation,"Cauliflower, raw",20.4,100,g,"100 g",20.4
2685569,100332,NDB #,Foundation,"Squash, summer, yellow, includes skin, raw",22.7,100,g,"100 g",22.7
2685578,100341,NDB #,Foundation,"Tomatoes, whole, canned, solids and liquids, with salt added",19.8,100,g,"100 g",19.8
2685577,11209,NDB #,Foundation,"Eggplant, raw",11.1,100,g,"100 g",11.1
2685576,11080,NDB #,Foundation,"Beets, raw",13.8,100,g,"100 g",13.8
2684443,100327,NDB #,Foundation,"Crustaceans, shrimp, farm raised, raw",64.6,100,g,"100 g",64.6
2684441,15236,NDB #,Foundation,"Fish, salmon, Atlantic, farm raised, raw",9.42,100,g,"100 g",9.42
2684442,100326,NDB #,Foundation,"Fish, tilapia, farm raised, raw",8.63,100,g,"100 g",8.63
