docSeqNo,name,measure,calcium
1,"Cheese, swiss","1.0 cups, diced",1175
2,"Whey, sweet, dried","1.0 cups",1154
3,"Cheese, pasteurized process, swiss","1.0 cups, diced",1081
4,"Cheese, provolone","1.0 cups, diced",998
5,"Cheese, muenster","1.0 cups, diced",946
6,"Cheese, cheddar","1.0 cups, diced",937
7,"Cheese, mozzarella, low moisture, part-skim","1.0 cups, diced",920
8,"Tofu, raw, firm, prepared with calcium sulfate","0.5 cups",861
9,"Cheese, mexican, queso chihuahua","1.0 cups, diced",859
10,"Cheese, parmesan, grated","1.0 cups",853
11,"Cheese spread, pasteurized process, American","1.0 cups, diced",787
12,"Cheese food, pasteurized process, American, vitamin D fortified","1.0 cups",771
13,"Cheese, feta","1.0 cups, crumbled",740
14,"Cheese substitute, mozzarella","1.0 cups, shredded",689
15,"Beverages, Whey protein powder isolate","3.0 scoop",600
16,"Cheese, mozzarella, whole milk","1.0 cups, shredded",566
17,"Cornmeal, white, self-rising, bolted, with wheat flour added, enriched","1.0 cups",508
18,"Soybeans, green, raw","1.0 cups",504
19,"Cornmeal, white, self-rising, degermed, enriched","1.0 cups",483
20,"Milk, sheep, fluid","1.0 cups",473
21,"Beverages, almond milk, chocolate, ready-to-drink","8.0 fl oz",451
22,"Beverages, almond milk, sweetened, vanilla flavor, ready-to-drink","8.0 fl oz",451
23,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D","0.25 cups",377
24,"Nuts, almonds, dry roasted, without salt added","1.0 cups whole kernels",370
25,"Milk, buttermilk, dried","0.25 cups",355
26,"Milk, nonfat, fluid, protein fortified","1.0 cups",352
27,"Milk, reduced fat, fluid, 2% milkfat, protein fortified","1.0 cups",352
28,"Milk, lowfat, fluid, 1% milkfat, protein fortified","1.0 cups",349
29,"Orange juice, chilled, includes from concentrate, with added calcium","1.0 cups",349
30,"Cheese, ricotta, part skim milk","0.5 cups",337
31,"Eggnog","1.0 cups",330
32,"Wheat flour, white, all-purpose, enriched, calcium-fortified","1.0 cups",315
33,"Yogurt, plain, low fat","1.0 container (6 oz)",311
34,"Milk, producer, fluid, 3.7% milkfat","1.0 cups",290
35,"Yogurt, fruit, low fat, 11g protein/8 oz","1.0 container (6 oz)",287
36,"Milk, chocolate, fluid, commercial, whole","1.0 cups",280
37,"Amaranth leaves, cooked, boiled, drained, without salt","1.0 cups",276
38,"Beans, pink, mature seeds, raw","1.0 cups",273
39,"Milk, chocolate, fluid, commercial, reduced fat","1.0 cups",272
40,"Soybeans, green, cooked, boiled, drained, without salt","1.0 cups",261
41,"Cheese, ricotta, whole milk","0.5 cups",255
42,"Turnip greens, frozen, cooked, boiled, drained, without salt","1.0 cups",249
43,"Garlic, raw","1.0 cups",246
44,"Fish, salmon, pink, canned, drained solids","3.0 oz",241
45,"Beans, black, mature seeds, raw","1.0 cups",239
46,"Yogurt, fruit, low fat, 9g protein/8 oz","1.0 container (6 oz)",235
47,"Bagels, plain, enriched","1.0 bagel",217
48,"Biscuits, plain or buttermilk, dry mix","1.0 cups, purchased",215
49,"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, without salt","1.0 cups",211
50,"Yogurt, plain, whole milk","1.0 container (6 oz)",206
51,"Turnip greens, cooked, boiled, drained, without salt","1.0 cups, chopped",197
52,"Cereals, WHEATENA, cooked with water","1.0 cups",194
53,"Spinach, canned, regular pack, solids and liquids","1.0 cups",194
54,"Bread, white wheat","1.0 slice",192
55,"Collards, frozen, chopped, unprepared","0.33 package (10 oz)",191
56,"Candies, confectioner's coating, peanut butter","1.0 cups chips",185
57,"Jute, potherb, cooked, boiled, drained, without salt","1.0 cups",184
58,"Cowpeas (blackeyes), immature seeds, raw","1.0 cups",183
59,"Fish, salmon, pink, canned, without salt, solids with bone and liquid","3.0 oz",181
60,"Snacks, trail mix, regular, with chocolate chips, unsalted nuts and seeds","1.0 cups",159
61,"Cabbage, chinese (pak-choi), cooked, boiled, drained, without salt","1.0 cups, shredded",158
62,"Corn flour, yellow, masa, enriched","1.0 cups",157
63,"Cereals, CREAM OF WHEAT, instant, prepared with water, without salt","1.0 cups",154
64,"Puddings, chocolate, dry mix, regular, prepared with whole milk","0.5 cups",151
65,"Cheese, American, nonfat or fat free","1.0 serving",150
66,"Cheese, blue","1.0 oz",150
67,"Potatoes, scalloped, home-prepared with butter","1.0 cups",140
68,"Pancakes, buckwheat, dry mix, incomplete","1.0 oz",135
69,"Cereals, oats, instant, fortified, with raisins and spice, prepared with water","1.0 cups",134
70,"Beans, baked, canned, with pork","1.0 cups",134
71,"Nuts, hazelnuts or filberts","1.0 cups, chopped",131
72,"Beans, adzuki, mature seeds, raw","1.0 cups",130
73,"Currants, zante, dried","1.0 cups",127
74,"Cheese, cottage, lowfat, 2% milkfat","4.0 oz",125
75,"Turnip greens, frozen, cooked, boiled, drained, with salt","0.5 cups",125
76,"Cardoon, raw","1.0 cups, shredded",125
77,"Teff, cooked","1.0 cups",123
78,"Oranges, raw, with peel","1.0 cups",119
79,"Seeds, sunflower seed kernels, oil roasted, without salt","1.0 cups",117
80,"Sauce, cheese, ready-to-serve","0.25 cups",116
81,"Cereals ready-to-eat, QUAKER Oatmeal Squares, Golden Maple","1.0 cups",113
82,"Cheese, camembert","1.0 oz",110
83,"Milk, canned, condensed, sweetened","1.0 fl oz",108
84,"Fish, herring, Atlantic, pickled","1.0 cups",108
85,"Beans, black turtle, mature seeds, cooked, boiled, without salt","1.0 cups",102
86,"Orange juice, frozen concentrate, unsweetened, undiluted","1.0 cups",100
87,"Mollusks, oyster, eastern, wild, cooked, moist heat","3.0 oz",99
88,"Turnip greens, frozen, unprepared","0.5 cups, chopped or diced",97
89,"Cheese, cottage, creamed, large or small curd","4.0 oz",94
90,"Cereals ready-to-eat, granola, homemade","1.0 cups",93
91,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D","1.0 fl oz",93
92,"Kale, frozen, unprepared","1.0 cups",91
93,"Soup, black bean, canned, condensed","1.0 cups",90
94,"Purslane, cooked, boiled, drained, without salt","1.0 cups",90
95,"Pokeberry shoots, (poke), cooked, boiled, drained, without salt","1.0 cups",87
96,"Broccoli, frozen, chopped, unprepared","1.0 cups",87
97,"Tomatoes, red, ripe, canned, stewed","1.0 cups",87
98,"Peanuts, all types, dry-roasted, without salt","1.0 cups",85
99,"Squash, winter, butternut, cooked, baked, without salt","1.0 cups, cubes",84
100,"Beans, black turtle, mature seeds, canned","1.0 cups",84
101,"Cream, fluid, light whipping","1.0 cups, whipped",83
102,"Milk, canned, evaporated, with added vitamin D","1.0 fl oz",82
103,"Milk substitutes, fluid, with lauric acid oil","1.0 cups",81
104,"Tortillas, ready-to-bake or -fry, flour, shelf stable","1.0 tortilla",80
105,"Tomatoes, red, ripe, canned, packed in tomato juice","1.0 cups",79
106,"Cream, fluid, heavy whipping","1.0 cups, whipped",79
107,"Mollusks, oyster, eastern, wild, cooked, dry heat","3.0 oz",78
108,"Peanuts, valencia, oil-roasted, without salt","1.0 cups",78
109,"Seeds, sunflower seed kernels, toasted, without salt","1.0 cups",76
110,"Potatoes, mashed, dehydrated, prepared from granules with milk","1.0 cups",74
111,"Apricots, dehydrated (low-moisture), sulfured, uncooked","1.0 cups",73
112,"Tangerines, (mandarin oranges), raw","1.0 cups, sections",72
113,"Oranges, raw, California, valencias","1.0 cups sections",72
114,"Peas, edible-podded, frozen, unprepared","1.0 cups",72
115,"Edamame, frozen, unprepared","1.0 cups",71
116,"Bread, cornbread, prepared from recipe, made with low fat (2%) milk","1.0 oz",71
117,"Fish, herring, Pacific, raw","3.0 oz",71
118,"Figs, canned, water pack, solids and liquids","1.0 cups",69
119,"Cheese, cottage, lowfat, 1% milkfat","4.0 oz",69
120,"Bread, cornbread, dry mix, prepared with 2% milk","1.0 muffin",69
121,"Fish, mackerel, jack, canned, drained solids","1.0 oz, boneless",68
122,"Okra, frozen, cooked, boiled, drained, without salt","0.5 cups slices",68
123,"Potatoes, mashed, dehydrated, prepared from flakes without milk","1.0 cups",67
124,"Peas and carrots, frozen, cooked, boiled, drained, without salt","1.0 package (10 oz)",64
125,"Squash, winter, acorn, cooked, boiled, mashed, without salt","1.0 cups, mashed",64
126,"Nuts, butternuts, dried","1.0 cups",64
127,"Celery, cooked, boiled, drained, without salt","1.0 cups, diced",63
128,"Fish, pike, northern, cooked, dry heat","3.0 oz",62
129,"Currants, european black, raw","1.0 cups",62
130,"Seeds, pumpkin and squash seed kernels, roasted, with salt added","1.0 cups",61
131,"Burdock root, cooked, boiled, drained, without salt","1.0 cups",61
132,"Kiwifruit, green, raw","1.0 cups, sliced",61
133,"Broccoli, frozen, chopped, cooked, boiled, drained, without salt","1.0 cups",61
134,"Blueberries, wild, canned, heavy syrup, drained","1.0 cups",61
135,"Cream, whipped, cream topping, pressurized","1.0 cups",61
136,"Cheese, cottage, creamed, with fruit","4.0 oz",60
137,"Cabbage, chinese (pe-tsai), raw","1.0 cups, shredded",59
138,"Puddings, tapioca, ready-to-eat, fat free","1.0 container",58
139,"Cake, shortcake, biscuit-type, prepared from recipe","1.0 oz",58
140,"Fish, burbot, cooked, dry heat","1.0 fillet",58
141,"Lima beans, immature seeds, frozen, baby, unprepared","1.0 cups",57
142,"Oat flour, partially debranned","1.0 cups",57
143,"Cake, chocolate, prepared from recipe without frosting","1.0 piece",57
144,"Beans, snap, green, frozen, cooked, boiled, drained without salt","1.0 cups",57
145,"Onions, frozen, whole, cooked, boiled, drained, without salt","1.0 cups",57
146,"Grapefruit juice, white, frozen concentrate, unsweetened, undiluted","1.0 can (6 fl oz)",56
147,"Muffins, English, mixed-grain","1.0 oz",56
148,"Nuts, almond butter, plain, with salt added","1.0 tbsp",56
149,"Soybeans, mature seeds, sprouted, cooked, steamed","1.0 cups",55
150,"Pasta, fresh-refrigerated, spinach, as purchased","4.0 oz",55
151,"Beans, pinto, immature seeds, frozen, unprepared","0.33 package (10 oz)",55
152,"Lima beans, immature seeds, cooked, boiled, drained, without salt","1.0 cups",54
153,"Bread, pan dulce, sweet yeast bread","1.0 slice",54
154,"Potatoes, Russet, flesh and skin, baked","1.0 potato large",54
155,"Crustaceans, spiny lobster, mixed species, cooked, moist heat","3.0 oz",54
156,"Kale, raw","1.0 cups",53
157,"Water convolvulus, cooked, boiled, drained, with salt","1.0 cups, chopped",53
158,"Mollusks, oyster, eastern, cooked, breaded and fried","3.0 oz",53
159,"Seeds, lotus seeds, dried","1.0 cups",52
160,"Pork, fresh, loin, country-style ribs, separable lean only","3.0 oz",52
161,"Rice, white, long-grain, regular, raw, unenriched","1.0 cups",52
162,"Soup, chicken with rice, canned, condensed","0.5 cups",52
163,"Bread, pita, white, enriched","1.0 pita, large",52
164,"Bread, whole-wheat, commercially prepared","1.0 slice",52
